1B82..1BA1     ; L
1BA2..1BA5     ; NSM
1BA6..1BA7     ; L
1BA8..1BA9     ; NSM
1BAA..1C2B     ; L
1C2C..1C33     ; NSM
1C34..1C35     ; L
1C36..1C37     ; NSM
1C3B..1C7F     ; L
1CD0..1CD2     ; NSM
1CD3..1CD3     ; L
1CD4..1CE0     ; NSM
1CE1..1CE1     ; L
1CE2..1CE8     ; NSM
1CE9..1CEC     ; L
1CED..1CED     ; NSM
1CEE..1DBF     ; L
1DC0..1DFF     ; NSM
1E00..1FBC     ; L
1FBD..1FBD     ; ON
1FBE..1FBE     ; L
1FBF..1FC1     ; ON
1FC2..1FCC     ; L
1FCD..1FCF     ; ON
1FD0..1FDB     ; L
1FDD..1FDF     ; ON
1FE0..1FEC     ; L
1FED..1FEF     ; ON
1FF2..1FFC     ; L
1FFD..1FFE     ; ON
2000..200A     ; WS
200B..200D     ; BN
200E..200E     ; L
200F..200F     ; R
2010..2027     ; ON
2028..2028     ; WS
2029..2029     ; B
202A..202A     ; LRE
202B..202B     ; RLE
202C..202C     ; PDF
202D..202D     ; LRO
202E..202E     ; RLO
202F..202F     ; CS
2030..2034     ; ET
2035..2043     ; ON
2044..2044     ; CS
2045..205E     ; ON
205F..205F     ; WS
2060..206F     ; BN
2070..2070     ; EN
2071..2071     ; L
2074..2079     ; EN
207A..207B     ; ES
207C..207E     ; ON
207F..207F     ; L
2080..2089     ; EN
208A..208B     ; ES
208C..208E     ; ON
2090..2094     ; L
20A0..20B8     ; ET
20D0..20F0     ; NSM
2100..2101     ; ON
2102..2102     ; L
2103..2106     ; ON
2107..2107     ; L
2108..2109     ; ON
210A..2113     ; L
2114..2114     ; ON
2115..2115     ; L
2116..2118     ; ON
2119..211D     ; L
211E..2123     ; ON
2124..2124     ; L
2125..2125     ; ON
2126..2126     ; L
2127..2127     ; ON
2128..2128     ; L
2129..2129     ; ON
212A..212D     ; L
212E..212E     ; ET
212F..2139     ; L
213A..213B     ; ON
213C..213F     ; L
2140..2144     ; ON
2145..2149     ; L
214A..214D     ; ON
214E..214F     ; L
2150..215F     ; ON
2160..2188     ; L
2189..2211     ; ON
2212..2212     ; ES
2213..2213     ; ET
2214..2335     ; ON
2336..237A     ; L
237B..2394     ; ON
2395..2395     ; L
2396..2487     ; ON
2488..249B     ; EN
249C..24E9     ; L
24EA..26AB     ; ON
26AC..26AC     ; L
26AD..27FF     ; ON
2800..28FF     ; L
2900..2B59     ; ON
2C00..2CE4     ; L
2CE5..2CEA     ; ON
2CEB..2CEE     ; L
2CEF..2CF1     ; NSM
2CF9..2CFF     ; ON
2D00..2DDE     ; L
2DE0..2DFF     ; NSM
2E00..2FFB     ; ON
3000..3000     ; WS
3001..3004     ; ON
3005..3007     ; L
3008..3020     ; ON
3021..3029     ; L
302A..302F     ; NSM
3030..3030     ; ON
3031..3035     ; L
3036..3037     ; ON
3038..303C     ; L
303D..303F     ; ON
3041..3096     ; L
3099..309A     ; NSM
309B..309C     ; ON
309D..309F     ; L
30A0..30A0     ; ON
30A1..30FA     ; L
30FB..30FB     ; ON
30FC..31B7     ; L
31C0..31E3     ; ON
31F0..321C     ; L
321D..321E     ; ON
3220..324F     ; L
3250..325F     ; ON
3260..327B     ; L
327C..327E     ; ON
327F..32B0     ; L
32B1..32BF     ; ON
32C0..32CB     ; L
32CC..32CF     ; ON
32D0..3376     ; L
3377..337A     ; ON
337B..33DD     ; L
33DE..33DF     ; ON
33E0..33FE     ; L
33FF..33FF     ; ON
3400..4DB5     ; L
4DC0..4DFF     ; ON
4E00..A48C     ; L
A490..A4C6     ; ON
A4D0..A60C     ; L
A60D..A60F     ; ON
A610..A66E     ; L
A66F..A672     ; NSM
A673..A673     ; ON
A67C..A67D     ; NSM
A67E..A67F     ; ON
A680..A6EF     ; L
A6F0..A6F1     ; NSM
A6F2..A6F7     ; L
A700..A721     ; ON
A722..A787     ; L
A788..A788     ; ON
A789..A801     ; L
A802..A802     ; NSM
A803..A805     ; L
A806..A806     ; NSM
A807..A80A     ; L
A80B..A80B     ; NSM
A80C..A824     ; L
A825..A826     ; NSM
A827..A827     ; L
A828..A82B     ; ON
A830..A837     ; L
A838..A839     ; ET
A840..A873     ; L
A874..A877     ; ON
A880..A8C3     ; L
A8C4..A8C4     ; NSM
A8CE..A8D9     ; L
A8E0..A8F1     ; NSM
A8F2..A925     ; L
A926..A92D     ; NSM
A92E..A946     ; L
A947..A951     ; NSM
A952..A97C     ; L
A980..A982     ; NSM
A983..A9B2     ; L
A9B3..A9B3     ; NSM
A9B4..A9B5     ; L
A9B6..A9B9     ; NSM
A9BA..A9BB     ; L
A9BC..A9BC     ; NSM
A9BD..AA28     ; L
AA29..AA2E     ; NSM
AA2F..AA30     ; L
AA31..AA32     ; NSM
AA33..AA34     ; L
AA35..AA36     ; NSM
AA40..AA42     ; L
AA43..AA43     ; NSM
AA44..AA4B     ; L
AA4C..AA4C     ; NSM
AA4D..AAAF     ; L
AAB0..AAB0     ; NSM
AAB1..AAB1     ; L
AAB2..AAB4     ; NSM
AAB5..AAB6     ; L
AAB7..AAB8     ; NSM
AAB9..AABD     ; L
AABE..AABF     ; NSM
AAC0..AAC0     ; L
AAC1..AAC1     ; NSM
AAC2..ABE4     ; L
ABE5..ABE5     ; NSM
ABE6..ABE7     ; L
ABE8..ABE8     ; NSM
ABE9..ABEC     ; L
ABED..ABED     ; NSM
ABF0..FB17     ; L
FB1D..FB1D     ; R
FB1E..FB1E     ; NSM
FB1F..FB28     ; R
FB29..FB29     ; ES
FB2A..FB4F     ; R
FB50..FD3D     ; AL
FD3E..FD3F     ; ON
FD50..FDFC     ; AL
FDFD..FDFD     ; ON
FE00..FE0F     ; NSM
FE10..FE19     ; ON
FE20..FE26     ; NSM
FE30..FE4F     ; ON
FE50..FE50     ; CS
FE51..FE51     ; ON
FE52..FE52     ; CS
FE54..FE54     ; ON
FE55..FE55     ; CS
FE56..FE5E     ; ON
FE5F..FE5F     ; ET
FE60..FE61     ; ON
FE62..FE63     ; ES
FE64..FE68     ; ON
FE69..FE6A     ; ET
FE6B..FE6B     ; ON
FE70..FEFC     ; AL
FEFF..FEFF     ; BN
FF01..FF02     ; ON
FF03..FF05     ; ET
FF06..FF0A     ; ON
FF0B..FF0B     ; ES
FF0C..FF0C     ; CS
FF0D..FF0D     ; ES
FF0E..FF0F     ; CS
FF10..FF19     ; EN
FF1A..FF1A     ; CS
FF1B..FF20     ; ON
FF21..FF3A     ; L
FF3B..FF40     ; ON
FF41..FF5A     ; L
FF5B..FF65     ; ON
FF66..FFDC     ; L
FFE0..FFE1     ; ET
FFE2..FFE4     ; ON
FFE5..FFE6     ; ET
FFE8..FFFD     ; ON
10000..10100   ; L
10101..10101   ; ON
10102..1013F   ; L
10140..1019B   ; ON
101D0..101FC   ; L
101FD..101FD   ; NSM
10280..104A9   ; L
10800..1091B   ; R
1091F..1091F   ; ON
10920..10A00   ; R
10A01..10A0F   ; NSM
10A10..10A33   ; R
10A38..10A3F   ; NSM
10A40..10B35   ; R
10B39..10B3F   ; ON
10B40..10C48   ; R
10E60..10E7E   ; AN
11080..11081   ; NSM
11082..110B2   ; L
110B3..110B6   ; NSM
110B7..110B8   ; L
110B9..110BA   ; NSM
110BB..1D166   ; L
1D167..1D169   ; NSM
1D16A..1D172   ; L
1D173..1D17A   ; BN
1D17B..1D182   ; NSM
1D183..1D184   ; L
1D185..1D18B   ; NSM
1D18C..1D1A9   ; L
1D1AA..1D1AD   ; NSM
1D1AE..1D1DD   ; L
1D200..1D241   ; ON
1D242..1D244   ; NSM
1D245..1D356   ; ON
1D360..1D6DA   ; L
1D6DB..1D6DB   ; ON
1D6DC..1D714   ; L
1D715..1D715   ; ON
1D716..1D74E   ; L
1D74F..1D74F   ; ON
1D750..1D788   ; L
1D789..1D789   ; ON
1D78A..1D7C2   ; L
1D7C3..1D7C3   ; ON
1D7C4..1D7CB   ; L
1D7CE..1D7FF   ; EN
1F000..1F093   ; ON
1F100..1F10A   ; EN
1F110..2FA1D   ; L
E0001..E007F   ; BN
E0100..E01EF   ; NSM
